words   tx-cycles   rx-cycles   abs-cycles
4       697         397         1094
1000    966         772         1738
2000    1212        1520        2732
3000    1483        2261        3744
4000    1711        3010        4721
5000    1961        3802        5763
6000    2253        4545        6798
7000    2703        5085        7788
8000    3737        5065        8802
9000    4776        4967        9743
10000   5804        4973        10777
11000   6712        5044        11756
12000   7745        5013        12758
13000   8714        5048        13762
14000   9742        5040        14782
15000   10753       5001        15754
16000   11697       5072        16769
